日期,股票代码,名称,收盘价,涨跌幅
2016-04-28,'600708,光明地产,9.29,3.2222
2016-04-27,'600708,光明地产,9.0,-0.9901
2016-04-26,'600708,光明地产,9.09,0.5531
2016-04-25,'600708,光明地产,9.04,1.0056
2016-04-22,'600708,光明地产,8.95,0.0
2016-04-21,'600708,光明地产,8.95,-0.9956
2016-04-20,'600708,光明地产,9.04,-5.3403
2016-04-19,'600708,光明地产,9.55,0.7384
2016-04-18,'600708,光明地产,9.48,-1.8634
2016-04-15,'600708,光明地产,9.66,-0.5149
2016-04-14,'600708,光明地产,9.71,0.9356
2016-04-13,'600708,光明地产,9.62,0.5225
2016-04-12,'600708,光明地产,9.57,0.3145
2016-04-11,'600708,光明地产,9.54,2.3605
2016-04-08,'600708,光明地产,9.32,-1.0616
2016-04-07,'600708,光明地产,9.42,-2.3834
2016-04-06,'600708,光明地产,9.65,0.6257
2016-04-05,'600708,光明地产,9.59,1.2672
2016-04-01,'600708,光明地产,9.47,0.0
2016-03-31,'600708,光明地产,9.47,0.1057
2016-03-30,'600708,光明地产,9.46,2.4919
2016-03-29,'600708,光明地产,9.23,-3.5528
2016-03-28,'600708,光明地产,9.57,0.2094
2016-03-25,'600708,光明地产,9.55,2.9095
2016-03-24,'600708,光明地产,9.28,-2.8272
2016-03-23,'600708,光明地产,9.55,1.5957
2016-03-22,'600708,光明地产,9.4,-1.4675
2016-03-21,'600708,光明地产,9.54,2.4705
2016-03-18,'600708,光明地产,9.31,4.1387
2016-03-17,'600708,光明地产,8.94,2.4055
2016-03-16,'600708,光明地产,8.73,-2.2396
2016-03-15,'600708,光明地产,8.93,-0.7778
2016-03-14,'600708,光明地产,9.0,2.9748
2016-03-11,'600708,光明地产,8.74,-4.1667
2016-03-10,'600708,光明地产,9.12,-0.5453
2016-03-09,'600708,光明地产,9.17,-4.1797
2016-03-08,'600708,光明地产,9.57,-1.4418
2016-03-07,'600708,光明地产,9.71,0.6218
2016-03-04,'600708,光明地产,9.65,-4.7384
2016-03-03,'600708,光明地产,10.13,-3.0622
2016-03-02,'600708,光明地产,10.45,10.0
