日期,股票代码,名称,收盘价,涨跌幅,变动率,累计变动率,前复权,week,month,quarter,half-year,year,wm,wq,wh,wy,mq,mh,my,qh,qy,hy,wmq,wmqh,wmqhy,mqh,mqhy,qhy
2018-08-02,'300729,乐歌股份,27.1,-4.3417,0.956583,1.1789324758450819,26.861026535691924,28.78986632161638,31.139455095824008,32.82418296072924,30.333887471361095,,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
2018-08-03,'300729,乐歌股份,26.5,-2.214,0.97786,1.1528309108298718,26.266323408191703,27.996922243191314,30.82624232560334,32.74776178736299,30.332615774117382,,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
2018-08-06,'300729,乐歌股份,26.18,-1.2075,0.987925,1.138910477581601,25.94915755303779,27.249576276305685,30.43720439364182,32.6849346634362,30.337484440703072,,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
2018-08-07,'300729,乐歌股份,26.7,1.9862,1.019862,1.1615315174873269,26.464559720356228,26.724250219290365,30.0853355952234,32.62971239790901,30.367744550035315,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2018-08-08,'300729,乐歌股份,26.0,-2.6217,0.973783,1.1310796456933616,25.770738358167648,26.26236111508909,29.772123191595654,32.53944955007998,30.373178661950522,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2018-08-09,'300729,乐歌股份,26.7,2.6923,1.026923,1.161531702994364,26.464563946984594,26.18306859734762,29.415298950076146,32.4728991667343,30.386200475020836,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2018-08-10,'300729,乐歌股份,26.78,0.2996,1.002996,1.165011651976535,26.54385178056976,26.23857427182323,29.10406911961862,32.39995381762851,30.39594290957195,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2018-08-13,'300729,乐歌股份,26.82,0.1494,1.001494,1.166752179384588,26.583508295129935,26.36544442024166,28.824557843380365,32.31831129909624,30.402650276124884,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2018-08-14,'300729,乐歌股份,26.95,0.4847,1.004847,1.1724074271980653,26.71235855983643,26.415004188137704,28.539594450984207,32.23323451584288,30.41749087115067,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2018-08-15,'300729,乐歌股份,25.91,-3.859,0.96141,1.127164224582492,25.681528643012342,26.397162245106642,28.242737084750143,32.11957880606569,30.428502299866953,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2018-08-16,'300729,乐歌股份,26.01,0.386,1.00386,1.1315150784893804,25.78065934357437,26.2603813244246,27.93993255313672,32.01236590305045,30.436481777858496,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
